NP_001193503.1	NP_001139107.1	26.197	355	214	7	21	344	29	366	3.55e-27	115
NP_001231537.1	NP_001157943.1	46.182	275	144	1	42	312	30	304	1.67e-74	231
NP_001193736.1	NP_001276331.1	50.198	504	248	2	34	537	93	593	1.73e-159	467
NP_001193736.1	NP_001276331.1	54.408	397	181	0	107	503	219	615	1.41e-142	424
NP_001193736.1	NP_001276331.1	52.632	342	162	0	107	448	275	616	5.70e-117	358
NP_001179795.1	NP_001352939.1	38.904	365	168	8	687	1044	66	382	8.29e-75	271
NP_001103536.2	NP_055749.1	79.132	853	171	6	1	851	1	848	0.0	1308
NP_001156399.1	NP_258443.2	64.012	1042	356	8	1	1030	1	1035	0.0	1151
NP_851380.2	NP_001354491.1	29.830	704	385	24	494	1162	50	679	4.34e-74	259
NP_001069364.2	NP_647611.1	43.373	166	88	2	796	961	282	441	7.93e-38	147
NP_001069364.2	NP_647611.1	33.981	103	56	4	590	692	185	275	1.59e-06	51.2
NP_001071417.2	NP_001278261.1	86.223	842	115	1	483	1324	1	841	0.0	1438
NP_001192861.1	NP_079446.3	32.569	218	125	6	18	218	7	219	1.05e-19	93.2
NP_776592.1	NP_000404.2	47.552	286	138	5	8	287	6	285	2.80e-72	225
NP_001178362.1	NP_203748.1	52.469	162	74	1	617	775	244	405	2.65e-49	187
NP_001193739.1	NP_659428.2	84.006	669	106	1	1	669	1	668	0.0	1169
NP_001193609.1	NP_001336884.1	57.699	539	228	0	822	1360	2	540	8.61e-97	333
NP_001193609.1	NP_001336884.1	42.779	727	307	18	606	1274	83	758	4.30e-73	264
NP_001193609.1	NP_001336884.1	43.191	771	356	14	606	1315	8	757	4.27e-72	261
NP_001193609.1	NP_001336884.1	43.277	714	322	12	717	1360	2	702	3.51e-69	252
NP_001193609.1	NP_001336884.1	43.627	557	253	12	604	1138	240	757	4.66e-57	214
NP_001193609.1	NP_001336884.1	44.910	501	220	13	596	1084	301	757	7.99e-53	201
NP_001193609.1	NP_001336884.1	41.917	532	254	9	597	1100	254	758	4.23e-52	199
NP_001193609.1	NP_001336884.1	44.624	186	85	4	595	780	586	753	2.81e-12	70.9
